Nombre de Archivo,Folio,Matrícula matriz,Matrículas derivadas,Área de Terreno,Servidumbre,Tipo Predio,Dirección,Dirección Corregida
018-116190 b.pdf,116190,018-114882,,711.7900,NO,U,LT LT 7,LO LO 7
018-116191 b.pdf,116191,018-114882,,3115.4600,NO,U,LT LT 8,LO LO 8
018-116195 b.pdf,116195,018-114882,,881.1800,NO,U,LT LT 12,LO LO 12
018-116199 b.pdf,116199,018-114882,,2256.3000,NO,U,LT LT 16,LO LO 16
018-116200 b.pdf,116200,018-114882,,2505.5400,NO,U,LT LT 17,LO LO 17
018-122936 B.pdf,122936,018-116188,,61.3000,NO,U,LT DE TERRENO 1,LO 1
018-122937 B.pdf,122937,018-116188,,61.3000,NO,U,LT DE TERRENO 2,LO 2
018-122938 B.pdf,122938,018-116188,,61.3000,NO,U,LT DE TERRENO 3,LO 3
018-122939 B.pdf,122939,018-116188,,61.3000,NO,U,LT DE TERRENO 4,LO 4
018-122940 B.pdf,122940,018-116188,,61.3000,NO,U,LT DE TERRENO 5,LO 5
018-122941 B.pdf,122941,018-116188,,61.3000,NO,U,LT DE TERRENO 6,LO 6
018-122942 b.pdf,122942,018-116188,,61.3000,NO,U,LT DE TERRENO 7,LO 7
018-122944 b.pdf,122944,018-116188,,61.3000,NO,U,LT DE TERRENO 9,LO 9
018-122945 b.pdf,122945,018-116188,,61.3000,NO,U,LT DE TERRENO 10,LO 10
018-122946 b.pdf,122946,018-116188,,61.3000,NO,U,LT DE TERRENO 11,LO 11
018-122947 b.pdf,122947,018-116188,,61.3000,NO,U,LT DE TERRENO 12,LO 12
018-122948 b.pdf,122948,018-116188,,254.4000,NO,U,PT LT DE TERRENO ZONA,PT LO ZONA
018-128438 B.pdf,128438,018-123133,,105.0,NO,R,KR 17 # 15 - 45 HOY VVDA,CR 17 N 15 - 45 HOY VVDA
018-128439 B.pdf,128439,018-123133,,105.0,NO,R,KR 17 # 15 - 39 HOY VVDA,CR 17 N 15 - 39 HOY VVDA
018-128440 B.pdf,128440,018-123133,,105.0,NO,R,LT DE TERRENO 22,LO 22
018-128441 B.pdf,128441,018-123133,,,NO,R,LT DE TERRENO 23,LO 23
018-129939 b.pdf,129939,018-116193,,66.3300,NO,U,SC CUBA LT DOS 2,SC CUBA LO DOS 2
018-129940 b.pdf,129940,018-116193,,66.3300,NO,U,SC CUBA LT TRES 3,SC CUBA LO TRES 3
018-129941 b.pdf,129941,018-116193,,291.2400,NO,U,SC CUBA LT CUATRO 4,SC CUBA LO CUATRO 4
